name,roll_number,phone,year,semester,department,section_name
Ankitha Boyapally,22A91A0514,9100000074,3,6,CSE,B
Vinay Ravulaparthi,22A91A0515,9100000075,3,6,CSE,B
Aparna Dandu,22A91A0516,9100000076,3,6,CSE,B
Vivek Guntupalli,22A91A0517,9100000077,3,6,CSE,B
Bhavya Nimmala,22A91A0518,9100000078,3,6,CSE,B
Yashwanth Pothuraju,22A91A0519,9100000079,3,6,CSE,B
Chaitra Marri,22A91A0520,9100000080,3,6,CSE,B
Aakash Uppuluri,22A91A0521,9100000081,3,6,CSE,C
Divya Muvva,22A91A0522,9100000082,3,6,CSE,C
Aditya Vegesna,22A91A0523,9100000083,3,6,CSE,C
Esha Chidipothu,22A91A0524,9100000084,3,6,CSE,C
Akash Kasireddy,22A91A0525,9100000085,3,6,CSE,C
Harini Tummala,22A91A0526,9100000086,3,6,CSE,C
Amit Gali,22A91A0527,9100000087,3,6,CSE,C
Hema Vallabhaneni,22A91A0528,9100000088,3,6,CSE,C
Anil Bejjanki,22A91A0529,9100000089,3,6,CSE,C
Ishita Palleti,22A91A0530,9100000090,3,6,CSE,C
Arjun Dendukuri,21A91A0501,9100000091,4,8,CSE,A
Jyothirmai Gogineni,21A91A0502,9100000092,4,8,CSE,A
Ashok Nandipati,21A91A0503,9100000093,4,8,CSE,A
Kavya Maddula,21A91A0504,9100000094,4,8,CSE,A
Bhanu Konda,21A91A0505,9100000095,4,8,CSE,A
Lalitha Nelluri,21A91A0506,9100000096,4,8,CSE,A
Chaitanya Potluri,21A91A0507,9100000097,4,8,CSE,A
Likhitha Shaik,21A91A0508,9100000098,4,8,CSE,A
Deepak Talluri,21A91A0509,9100000099,4,8,CSE,A
Manasa Vemula,21A91A0510,9100000100,4,8,CSE,A
Dinesh Pathan,21A91A0511,9100000101,4,8,CSE,B
Meghana Manne,21A91A0512,9100000102,4,8,CSE,B
Eswar Bandi,21A91A0513,9100000103,4,8,CSE,B
Mythili Sappa,21A91A0514,9100000104,4,8,CSE,B
Gowtham Gundala,21A91A0515,9100000105,4,8,CSE,B
Navya Chilukuri,21A91A0516,9100000106,4,8,CSE,B
Harish Sahu,21A91A0517,9100000107,4,8,CSE,B
Nirmala Dasari,21A91A0518,9100000108,4,8,CSE,B
Jagadeesh Kakarla,21A91A0519,9100000109,4,8,CSE,B
Pallavi Yerra,21A91A0520,9100000110,4,8,CSE,B
Karthik Vankayala,21A91A0521,9100000111,4,8,CSE,C
Pooja Bolla,21A91A0522,9100000112,4,8,CSE,C
Krishna Pilli,21A91A0523,9100000113,4,8,CSE,C
Preethi Palagiri,21A91A0524,9100000114,4,8,CSE,C
Lalith Gudivada,21A91A0525,9100000115,4,8,CSE,C
Rachana Mandava,21A91A0526,9100000116,4,8,CSE,C
Madhav Maddipati,21A91A0527,9100000117,4,8,CSE,C
Rekha Kakumanu,21A91A0528,9100000118,4,8,CSE,C
Manoj Boddu,21A91A0529,9100000119,4,8,CSE,C
Shalini Koppula,21A91A0530,9100000120,4,8,CSE,C
Mukesh Peddinti,24A91A0401,9100000121,1,2,ECE,A
Sirisha Vemuri,24A91A0402,9100000122,1,2,ECE,A
Nagaraj Golla,24A91A0403,9100000123,1,2,ECE,A
Spandana Duvvuri,24A91A0404,9100000124,1,2,ECE,A
Nikhil Annam,24A91A0405,9100000125,1,2,ECE,A
Sridevi Rachapudi,24A91A0406,9100000126,1,2,ECE,A
Pavan Thota,24A91A0407,9100000127,1,2,ECE,A
Supriya Arepalli,24A91A0408,9100000128,1,2,ECE,A
Pranav Kunchala,24A91A0409,9100000129,1,2,ECE,A
Swathi Yellapu,24A91A0410,9100000130,1,2,ECE,A
Prudhvi Ganta,24A91A0411,9100000131,1,2,ECE,B
Tejaswini Meka,24A91A0412,9100000132,1,2,ECE,B
Rajesh Parasa,24A91A0413,9100000133,1,2,ECE,B
Usha Challagundla,24A91A0414,9100000134,1,2,ECE,B
Rakesh Kandula,24A91A0415,9100000135,1,2,ECE,B
Varsha Muvvala,24A91A0416,9100000136,1,2,ECE,B
Ravi Kothapalli,24A91A0417,9100000137,1,2,ECE,B
Yamini Manepalli,24A91A0418,9100000138,1,2,ECE,B
Sai Nuthalapati,24A91A0419,9100000139,1,2,ECE,B
Swarna Badugu,24A91A0420,9100000140,1,2,ECE,B
Santosh Sunkara,23A91A0401,9100000141,2,4,ECE,A
Amulya Dondapati,23A91A0402,9100000142,2,4,ECE,A
Shankar Palaparthi,23A91A0403,9100000143,2,4,ECE,A
Ankitha Yedla,23A91A0404,9100000144,2,4,ECE,A
Srinivas Gajjela,23A91A0405,9100000145,2,4,ECE,A
Aparna Vadlamudi,23A91A0406,9100000146,2,4,ECE,A
Sunil Kollipara,23A91A0407,9100000147,2,4,ECE,A
Bhavya Ganji,23A91A0408,9100000148,2,4,ECE,A
Tarun Kommineni,23A91A0409,9100000149,2,4,ECE,A
Chaitra Nallamothu,23A91A0410,9100000150,2,4,ECE,A
Varun Maddirala,23A91A0411,9100000151,2,4,ECE,B
Divya Battula,23A91A0412,9100000152,2,4,ECE,B
Vijay Garapati,23A91A0413,9100000153,2,4,ECE,B
Esha Lanka,23A91A0414,9100000154,2,4,ECE,B
Vinay Pathuri,23A91A0415,9100000155,2,4,ECE,B
Harini Saride,23A91A0416,9100000156,2,4,ECE,B
Vivek Mandadi,23A91A0417,9100000157,2,4,ECE,B
Hema Kosuru,23A91A0418,9100000158,2,4,ECE,B
Yashwanth Alavala,23A91A0419,9100000159,2,4,ECE,B
Ishita Chintala,23A91A0420,9100000160,2,4,ECE,B
Aakash Chappidi,22A91A0401,9100000161,3,6,ECE,A
Jyothirmai Kurella,22A91A0402,9100000162,3,6,ECE,A
Aditya Vaddadi,22A91A0403,9100000163,3,6,ECE,A
Kavya Palempalle,22A91A0404,9100000164,3,6,ECE,A
Akash Vangapandu,22A91A0405,9100000165,3,6,ECE,A
Lalitha Boyapally,22A91A0406,9100000166,3,6,ECE,A
Amit Ravulaparthi,22A91A0407,9100000167,3,6,ECE,A
Likhitha Dandu,22A91A0408,9100000168,3,6,ECE,A
Anil Guntupalli,22A91A0409,9100000169,3,6,ECE,A
Manasa Nimmala,22A91A0410,9100000170,3,6,ECE,A
Arjun Pothuraju,22A91A0411,9100000171,3,6,ECE,B
Meghana Marri,22A91A0412,9100000172,3,6,ECE,B
Ashok Uppuluri,22A91A0413,9100000173,3,6,ECE,B
Mythili Muvva,22A91A0414,9100000174,3,6,ECE,B
Bhanu Vegesna,22A91A0415,9100000175,3,6,ECE,B
Navya Chidipothu,22A91A0416,9100000176,3,6,ECE,B
Chaitanya Kasireddy,22A91A0417,9100000177,3,6,ECE,B
Nirmala Tummala,22A91A0418,9100000178,3,6,ECE,B
Deepak Gali,22A91A0419,9100000179,3,6,ECE,B
Pallavi Vallabhaneni,22A91A0420,9100000180,3,6,ECE,B
Dinesh Bejjanki,21A91A0401,9100000181,4,8,ECE,A
Pooja Palleti,21A91A0402,9100000182,4,8,ECE,A
Eswar Dendukuri,21A91A0403,9100000183,4,8,ECE,A
Preethi Gogineni,21A91A0404,9100000184,4,8,ECE,A
Gowtham Nandipati,21A91A0405,9100000185,4,8,ECE,A
Rachana Maddula,21A91A0406,9100000186,4,8,ECE,A
Harish Konda,21A91A0407,9100000187,4,8,ECE,A
Rekha Nelluri,21A91A0408,9100000188,4,8,ECE,A
Jagadeesh Potluri,21A91A0409,9100000189,4,8,ECE,A
Shalini Shaik,21A91A0410,9100000190,4,8,ECE,A
Karthik Talluri,21A91A0411,9100000191,4,8,ECE,B
Sirisha Vemula,21A91A0412,9100000192,4,8,ECE,B
Krishna Pathan,21A91A0413,9100000193,4,8,ECE,B
Spandana Manne,21A91A0414,9100000194,4,8,ECE,B
Lalith Bandi,21A91A0415,9100000195,4,8,ECE,B
Sridevi Sappa,21A91A0416,9100000196,4,8,ECE,B
Madhav Gundala,21A91A0417,9100000197,4,8,ECE,B
Supriya Chilukuri,21A91A0418,9100000198,4,8,ECE,B
Manoj Sahu,21A91A0419,9100000199,4,8,ECE,B
Swathi Dasari,21A91A0420,9100000200,4,8,ECE,B
Mukesh Kakarla,24A91A0201,9100000201,1,2,EEE,A
Tejaswini Yerra,24A91A0202,9100000202,1,2,EEE,A
Nagaraj Vankayala,24A91A0203,9100000203,1,2,EEE,A
Usha Bolla,24A91A0204,9100000204,1,2,EEE,A
Nikhil Pilli,24A91A0205,9100000205,1,2,EEE,A
Varsha Palagiri,24A91A0206,9100000206,1,2,EEE,A
Pavan Gudivada,24A91A0207,9100000207,1,2,EEE,A
Yamini Mandava,24A91A0208,9100000208,1,2,EEE,A
Pranav Maddipati,24A91A0209,9100000209,1,2,EEE,A
Swarna Kakumanu,24A91A0210,9100000210,1,2,EEE,A
Prudhvi Boddu,24A91A0211,9100000211,1,2,EEE,B
Amulya Koppula,24A91A0212,9100000212,1,2,EEE,B
Rajesh Peddinti,24A91A0213,9100000213,1,2,EEE,B
Ankitha Vemuri,24A91A0214,9100000214,1,2,EEE,B
Rakesh Golla,24A91A0215,9100000215,1,2,EEE,B
Aparna Duvvuri,24A91A0216,9100000216,1,2,EEE,B
Ravi Annam,24A91A0217,9100000217,1,2,EEE,B
Bhavya Rachapudi,24A91A0218,9100000218,1,2,EEE,B
Sai Thota,24A91A0219,9100000219,1,2,EEE,B
Chaitra Arepalli,24A91A0220,9100000220,1,2,EEE,B
Santosh Kunchala,23A91A0201,9100000221,2,4,EEE,A
Divya Yellapu,23A91A0202,9100000222,2,4,EEE,A
Shankar Ganta,23A91A0203,9100000223,2,4,EEE,A
Esha Meka,23A91A0204,9100000224,2,4,EEE,A
Srinivas Parasa,23A91A0205,9100000225,2,4,EEE,A
Harini Challagundla,23A91A0206,9100000226,2,4,EEE,A
Sunil Kandula,23A91A0207,9100000227,2,4,EEE,A
Hema Muvvala,23A91A0208,9100000228,2,4,EEE,A
Tarun Kothapalli,23A91A0209,9100000229,2,4,EEE,A
Ishita Manepalli,23A91A0210,9100000230,2,4,EEE,A
Varun Nuthalapati,23A91A0211,9100000231,2,4,EEE,B
Jyothirmai Badugu,23A91A0212,9100000232,2,4,EEE,B
Vijay Sunkara,23A91A0213,9100000233,2,4,EEE,B
Kavya Dondapati,23A91A0214,9100000234,2,4,EEE,B
Vinay Palaparthi,23A91A0215,9100000235,2,4,EEE,B
Lalitha Yedla,23A91A0216,9100000236,2,4,EEE,B
Vivek Gajjela,23A91A0217,9100000237,2,4,EEE,B
Likhitha Vadlamudi,23A91A0218,9100000238,2,4,EEE,B
Yashwanth Kollipara,23A91A0219,9100000239,2,4,EEE,B
Manasa Ganji,23A91A0220,9100000240,2,4,EEE,B
Aakash Kommineni,22A91A0201,9100000241,3,6,EEE,A
Meghana Nallamothu,22A91A0202,9100000242,3,6,EEE,A
Aditya Maddirala,22A91A0203,9100000243,3,6,EEE,A
Mythili Battula,22A91A0204,9100000244,3,6,EEE,A
Akash Garapati,22A91A0205,9100000245,3,6,EEE,A
Navya Lanka,22A91A0206,9100000246,3,6,EEE,A
Amit Pathuri,22A91A0207,9100000247,3,6,EEE,A
Nirmala Saride,22A91A0208,9100000248,3,6,EEE,A
Anil Mandadi,22A91A0209,9100000249,3,6,EEE,A
Pallavi Kosuru,22A91A0210,9100000250,3,6,EEE,A
Arjun Alavala,22A91A0211,9100000251,3,6,EEE,B
Pooja Chintala,22A91A0212,9100000252,3,6,EEE,B
Ashok Chappidi,22A91A0213,9100000253,3,6,EEE,B
Preethi Kurella,22A91A0214,9100000254,3,6,EEE,B
Bhanu Vaddadi,22A91A0215,9100000255,3,6,EEE,B
Rachana Palempalle,22A91A0216,9100000256,3,6,EEE,B
Chaitanya Vangapandu,22A91A0217,9100000257,3,6,EEE,B
Rekha Boyapally,22A91A0218,9100000258,3,6,EEE,B
Deepak Ravulaparthi,22A91A0219,9100000259,3,6,EEE,B
Shalini Dandu,22A91A0220,9100000260,3,6,EEE,B
Dinesh Guntupalli,21A91A0201,9100000261,4,8,EEE,A
Sirisha Nimmala,21A91A0202,9100000262,4,8,EEE,A
Eswar Pothuraju,21A91A0203,9100000263,4,8,EEE,A
Spandana Marri,21A91A0204,9100000264,4,8,EEE,A
Gowtham Uppuluri,21A91A0205,9100000265,4,8,EEE,A
Sridevi Muvva,21A91A0206,9100000266,4,8,EEE,A
Harish Vegesna,21A91A0207,9100000267,4,8,EEE,A
Supriya Chidipothu,21A91A0208,9100000268,4,8,EEE,A
Jagadeesh Kasireddy,21A91A0209,9100000269,4,8,EEE,A
Swathi Tummala,21A91A0210,9100000270,4,8,EEE,A
Karthik Gali,21A91A0211,9100000271,4,8,EEE,B
Tejaswini Vallabhaneni,21A91A0212,9100000272,4,8,EEE,B
Krishna Bejjanki,21A91A0213,9100000273,4,8,EEE,B
Usha Palleti,21A91A0214,9100000274,4,8,EEE,B
Lalith Dendukuri,21A91A0215,9100000275,4,8,EEE,B
Varsha Gogineni,21A91A0216,9100000276,4,8,EEE,B
Madhav Nandipati,21A91A0217,9100000277,4,8,EEE,B
Yamini Maddula,21A91A0218,9100000278,4,8,EEE,B
Manoj Konda,21A91A0219,9100000279,4,8,EEE,B
Swarna Nelluri,21A91A0220,9100000280,4,8,EEE,B
Mukesh Potluri,24A91A0301,9100000281,1,2,ME,A
Amulya Shaik,24A91A0302,9100000282,1,2,ME,A
Nagaraj Talluri,24A91A0303,9100000283,1,2,ME,A
Ankitha Vemula,24A91A0304,9100000284,1,2,ME,A
Nikhil Pathan,24A91A0305,9100000285,1,2,ME,A
Aparna Manne,24A91A0306,9100000286,1,2,ME,A
Pavan Bandi,24A91A0307,9100000287,1,2,ME,A
Bhavya Sappa,24A91A0308,9100000288,1,2,ME,A
Pranav Gundala,24A91A0309,9100000289,1,2,ME,A
Chaitra Chilukuri,24A91A0310,9100000290,1,2,ME,A
Prudhvi Sahu,24A91A0311,9100000291,1,2,ME,B
Divya Dasari,24A91A0312,9100000292,1,2,ME,B
Rajesh Kakarla,24A91A0313,9100000293,1,2,ME,B
Esha Yerra,24A91A0314,9100000294,1,2,ME,B
Rakesh Vankayala,24A91A0315,9100000295,1,2,ME,B
Harini Bolla,24A91A0316,9100000296,1,2,ME,B
Ravi Pilli,24A91A0317,9100000297,1,2,ME,B
Hema Palagiri,24A91A0318,9100000298,1,2,ME,B
Sai Gudivada,24A91A0319,9100000299,1,2,ME,B
Ishita Mandava,24A91A0320,9100000300,1,2,ME,B
Santosh Maddipati,23A91A0301,9100000301,2,4,ME,A
Jyothirmai Kakumanu,23A91A0302,9100000302,2,4,ME,A
Shankar Boddu,23A91A0303,9100000303,2,4,ME,A
Kavya Koppula,23A91A0304,9100000304,2,4,ME,A
Srinivas Peddinti,23A91A0305,9100000305,2,4,ME,A
Lalitha Vemuri,23A91A0306,9100000306,2,4,ME,A
Sunil Golla,23A91A0307,9100000307,2,4,ME,A
Likhitha Duvvuri,23A91A0308,9100000308,2,4,ME,A
Tarun Annam,23A91A0309,9100000309,2,4,ME,A
Manasa Rachapudi,23A91A0310,9100000310,2,4,ME,A
Varun Thota,23A91A0311,9100000311,2,4,ME,B
Meghana Arepalli,23A91A0312,9100000312,2,4,ME,B
Vijay Kunchala,23A91A0313,9100000313,2,4,ME,B
Mythili Yellapu,23A91A0314,9100000314,2,4,ME,B
Vinay Ganta,23A91A0315,9100000315,2,4,ME,B
Navya Meka,23A91A0316,9100000316,2,4,ME,B
Vivek Parasa,23A91A0317,9100000317,2,4,ME,B
Nirmala Challagundla,23A91A0318,9100000318,2,4,ME,B
Yashwanth Kandula,23A91A0319,9100000319,2,4,ME,B
Pallavi Muvvala,23A91A0320,9100000320,2,4,ME,B
Aakash Kothapalli,22A91A0301,9100000321,3,6,ME,A
Pooja Manepalli,22A91A0302,9100000322,3,6,ME,A
Aditya Nuthalapati,22A91A0303,9100000323,3,6,ME,A
Preethi Badugu,22A91A0304,9100000324,3,6,ME,A
Akash Sunkara,22A91A0305,9100000325,3,6,ME,A
Rachana Dondapati,22A91A0306,9100000326,3,6,ME,A
Amit Palaparthi,22A91A0307,9100000327,3,6,ME,A
Rekha Yedla,22A91A0308,9100000328,3,6,ME,A
Anil Gajjela,22A91A0309,9100000329,3,6,ME,A
Shalini Vadlamudi,22A91A0310,9100000330,3,6,ME,A
Arjun Kollipara,22A91A0311,9100000331,3,6,ME,B
Sirisha Ganji,22A91A0312,9100000332,3,6,ME,B
Ashok Kommineni,22A91A0313,9100000333,3,6,ME,B
Spandana Nallamothu,22A91A0314,9100000334,3,6,ME,B
Bhanu Maddirala,22A91A0315,9100000335,3,6,ME,B
Sridevi Battula,22A91A0316,9100000336,3,6,ME,B
Chaitanya Garapati,22A91A0317,9100000337,3,6,ME,B
Supriya Lanka,22A91A0318,9100000338,3,6,ME,B
Deepak Pathuri,22A91A0319,9100000339,3,6,ME,B
Swathi Saride,22A91A0320,9100000340,3,6,ME,B
Dinesh Mandadi,21A91A0301,9100000341,4,8,ME,A
Tejaswini Kosuru,21A91A0302,9100000342,4,8,ME,A
Eswar Alavala,21A91A0303,9100000343,4,8,ME,A
Usha Chintala,21A91A0304,9100000344,4,8,ME,A
Gowtham Chappidi,21A91A0305,9100000345,4,8,ME,A
Varsha Kurella,21A91A0306,9100000346,4,8,ME,A
Harish Vaddadi,21A91A0307,9100000347,4,8,ME,A
Yamini Palempalle,21A91A0308,9100000348,4,8,ME,A
Jagadeesh Vangapandu,21A91A0309,9100000349,4,8,ME,A
Swarna Boyapally,21A91A0310,9100000350,4,8,ME,A
Karthik Ravulaparthi,21A91A0311,9100000351,4,8,ME,B
Amulya Dandu,21A91A0312,9100000352,4,8,ME,B
Krishna Guntupalli,21A91A0313,9100000353,4,8,ME,B
Ankitha Nimmala,21A91A0314,9100000354,4,8,ME,B
Lalith Pothuraju,21A91A0315,9100000355,4,8,ME,B
Aparna Marri,21A91A0316,9100000356,4,8,ME,B
Madhav Uppuluri,21A91A0317,9100000357,4,8,ME,B
Bhavya Muvva,21A91A0318,9100000358,4,8,ME,B
Manoj Vegesna,21A91A0319,9100000359,4,8,ME,B
Chaitra Chidipothu,21A91A0320,9100000360,4,8,ME,B
Mukesh Kasireddy,24A91A0101,9100000361,1,2,CE,A
Divya Tummala,24A91A0102,9100000362,1,2,CE,A
Nagaraj Gali,24A91A0103,9100000363,1,2,CE,A
Esha Vallabhaneni,24A91A0104,9100000364,1,2,CE,A
Nikhil Bejjanki,24A91A0105,9100000365,1,2,CE,A
Harini Palleti,24A91A0106,9100000366,1,2,CE,A
Pavan Dendukuri,24A91A0107,9100000367,1,2,CE,A
Hema Gogineni,24A91A0108,9100000368,1,2,CE,A
Pranav Nandipati,24A91A0109,9100000369,1,2,CE,A
Ishita Maddula,24A91A0110,9100000370,1,2,CE,A
Prudhvi Konda,24A91A0111,9100000371,1,2,CE,B
Jyothirmai Nelluri,24A91A0112,9100000372,1,2,CE,B
Rajesh Potluri,24A91A0113,9100000373,1,2,CE,B
Kavya Shaik,24A91A0114,9100000374,1,2,CE,B
Rakesh Talluri,24A91A0115,9100000375,1,2,CE,B
Lalitha Vemula,24A91A0116,9100000376,1,2,CE,B
Ravi Pathan,24A91A0117,9100000377,1,2,CE,B
Likhitha Manne,24A91A0118,9100000378,1,2,CE,B
Sai Bandi,24A91A0119,9100000379,1,2,CE,B
Manasa Sappa,24A91A0120,9100000380,1,2,CE,B
Santosh Gundala,23A91A0101,9100000381,2,4,CE,A
Meghana Chilukuri,23A91A0102,9100000382,2,4,CE,A
Shankar Sahu,23A91A0103,9100000383,2,4,CE,A
Mythili Dasari,23A91A0104,9100000384,2,4,CE,A
Srinivas Kakarla,23A91A0105,9100000385,2,4,CE,A
Navya Yerra,23A91A0106,9100000386,2,4,CE,A
Sunil Vankayala,23A91A0107,9100000387,2,4,CE,A
Nirmala Bolla,23A91A0108,9100000388,2,4,CE,A
Tarun Pilli,23A91A0109,9100000389,2,4,CE,A
Pallavi Palagiri,23A91A0110,9100000390,2,4,CE,A
Varun Gudivada,23A91A0111,9100000391,2,4,CE,B
Pooja Mandava,23A91A0112,9100000392,2,4,CE,B
Vijay Maddipati,23A91A0113,9100000393,2,4,CE,B
Preethi Kakumanu,23A91A0114,9100000394,2,4,CE,B
Vinay Boddu,23A91A0115,9100000395,2,4,CE,B
Rachana Koppula,23A91A0116,9100000396,2,4,CE,B
Vivek Peddinti,23A91A0117,9100000397,2,4,CE,B
Rekha Vemuri,23A91A0118,9100000398,2,4,CE,B
Yashwanth Golla,23A91A0119,9100000399,2,4,CE,B
Shalini Duvvuri,23A91A0120,9100000400,2,4,CE,B
Aakash Annam,22A91A0101,9100000401,3,6,CE,A
Sirisha Rachapudi,22A91A0102,9100000402,3,6,CE,A
Aditya Thota,22A91A0103,9100000403,3,6,CE,A
Spandana Arepalli,22A91A0104,9100000404,3,6,CE,A
Akash Kunchala,22A91A0105,9100000405,3,6,CE,A
Sridevi Yellapu,22A91A0106,9100000406,3,6,CE,A
Amit Ganta,22A91A0107,9100000407,3,6,CE,A
Supriya Meka,22A91A0108,9100000408,3,6,CE,A
Anil Parasa,22A91A0109,9100000409,3,6,CE,A
Swathi Challagundla,22A91A0110,9100000410,3,6,CE,A
Arjun Kandula,22A91A0111,9100000411,3,6,CE,B
Tejaswini Muvvala,22A91A0112,9100000412,3,6,CE,B
Ashok Kothapalli,22A91A0113,9100000413,3,6,CE,B
Usha Manepalli,22A91A0114,9100000414,3,6,CE,B
Bhanu Nuthalapati,22A91A0115,9100000415,3,6,CE,B
Varsha Badugu,22A91A0116,9100000416,3,6,CE,B
Chaitanya Sunkara,22A91A0117,9100000417,3,6,CE,B
Yamini Dondapati,22A91A0118,9100000418,3,6,CE,B
Deepak Palaparthi,22A91A0119,9100000419,3,6,CE,B
Swarna Yedla,22A91A0120,9100000420,3,6,CE,B
Dinesh Gajjela,21A91A0101,9100000421,4,8,CE,A
Amulya Vadlamudi,21A91A0102,9100000422,4,8,CE,A
Eswar Kollipara,21A91A0103,9100000423,4,8,CE,A
Ankitha Ganji,21A91A0104,9100000424,4,8,CE,A
Gowtham Kommineni,21A91A0105,9100000425,4,8,CE,A
Aparna Nallamothu,21A91A0106,9100000426,4,8,CE,A
Harish Maddirala,21A91A0107,9100000427,4,8,CE,A
Bhavya Battula,21A91A0108,9100000428,4,8,CE,A
Jagadeesh Garapati,21A91A0109,9100000429,4,8,CE,A
Chaitra Lanka,21A91A0110,9100000430,4,8,CE,A
Karthik Pathuri,21A91A0111,9100000431,4,8,CE,B
Divya Saride,21A91A0112,9100000432,4,8,CE,B
Krishna Mandadi,21A91A0113,9100000433,4,8,CE,B
Esha Kosuru,21A91A0114,9100000434,4,8,CE,B
Lalith Alavala,21A91A0115,9100000435,4,8,CE,B
Harini Chintala,21A91A0116,9100000436,4,8,CE,B
Madhav Chappidi,21A91A0117,9100000437,4,8,CE,B
Hema Kurella,21A91A0118,9100000438,4,8,CE,B
Manoj Vaddadi,21A91A0119,9100000439,4,8,CE,B
Ishita Palempalle,21A91A0120,9100000440,4,8,CE,B
Mukesh Vangapandu,24A91A1201,9100000441,1,2,IT,A
